car_make,model,year,transmition,kilometers,car_customs,fuel,engine_size,payment method,price
Volkswagen,W12,2019,Automatic,"40,000 - 49,999",With Customs,Electric,Less than 50 kWh,Cash or Installments,N/A
Kia,Niro,2020,Automatic,"100,000 - 109,999",With Customs,Electric,50 - 69 kWh,Cash Only,
Changan,E-Star,2022,Automatic,0,With Customs,Electric,Less than 50 kWh,Cash Only,
Changan,E-Star,2023,Automatic,0,With Customs,Electric,Less than 50 kWh,Cash Only,
Tesla,3,2019,Automatic,"90,000 - 99,999",Without Customs,Electric,70 - 89 kWh,Cash or Installments,N/A
Changan,E-Star,2023,Automatic,0,With Customs,Electric,Less than 50 kWh,Cash Only,
Changan,E-Star,2022,Automatic,0,With Customs,Electric,Less than 50 kWh,Cash Only,
Tesla,3,2021,Automatic,"40,000 - 49,999",Without Customs,Electric,50 - 69 kWh,Cash or Installments,N/A
Toyota,Highlander,2021,Automatic,"40,000 - 49,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"32,800 JOD"
Ford,Fusion,2019,Automatic,"80,000 - 89,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"19,700 JOD"
